rank,player,team,AVG,XBH,GO,AO,GO_AO,GW_RBI,BB_K,P_PA,ISOP,XR,GPA
1,양의지,NC,0.354,46,86,129,0.67,4,1.12,3.74,0.221,88.7,0.341
2,페르난데스,두산,0.344,49,169,158,1.07,12,1.13,3.49,0.138,104.2,0.305
3,박민우,NC,0.344,32,129,144,0.90,5,1.03,3.74,0.090,79.4,0.290
4,이정후,키움,0.336,47,167,178,0.94,6,1.13,3.72,0.120,92.6,0.288
5,강백호,KT,0.336,43,121,87,1.39,11,0.70,3.84,0.160,84.2,0.311
6,고종욱,SK,0.323,35,147,99,1.48,8,0.20,3.61,0.098,68.6,0.261
7,로하스,KT,0.322,57,103,135,0.76,4,0.41,3.78,0.207,99.1,0.304
8,박건우,두산,0.319,42,127,139,0.91,8,1.05,3.83,0.146,82.1,0.295
9,유한준,KT,0.317,34,147,139,1.06,13,0.85,3.96,0.126,80.1,0.283
10,채은성,LG,0.315,31,130,133,0.98,9,0.36,3.64,0.119,71.8,0.270
11,이천웅,LG,0.308,29,186,111,1.68,6,0.70,3.81,0.066,75.4,0.264
12,김하성,키움,0.307,59,113,188,0.60,10,0.88,3.75,0.183,104.7,0.298
13,김태균,한화,0.305,27,104,111,0.94,4,0.57,3.94,0.090,66.0,0.271
14,샌즈,키움,0.305,68,112,157,0.71,14,0.76,3.81,0.238,105.0,0.314
15,김현수,LG,0.304,48,165,158,1.04,9,1.04,3.67,0.133,84.2,0.276
16,전준우,롯데,0.301,53,163,154,1.06,9,0.65,3.63,0.180,89.2,0.282
17,서건창,키움,0.300,28,125,128,0.98,2,0.98,3.73,0.082,65.2,0.264
18,최형우,KIA,0.300,49,115,134,0.86,10,1.10,4.06,0.184,90.7,0.307
19,김헌곤,삼성,0.297,26,138,116,1.19,1,0.90,3.90,0.090,54.5,0.259
20,손아섭,롯데,0.295,33,164,107,1.53,4,0.57,3.95,0.105,73.3,0.262
21,이명기,NC,0.293,22,169,111,1.52,4,0.73,3.83,0.060,63.0,0.250
22,오재일,두산,0.293,51,76,159,0.48,13,0.56,3.73,0.201,84.0,0.290
23,러프,삼성,0.292,59,129,127,1.02,10,0.92,4.08,0.222,93.5,0.307
24,최정,SK,0.292,56,82,190,0.43,14,0.75,3.85,0.227,107.1,0.309
25,김선빈,KIA,0.292,25,136,121,1.12,4,1.65,3.70,0.079,53.5,0.255
26,최재훈,한화,0.290,21,110,98,1.12,2,0.92,4.07,0.072,55.9,0.270
27,허경민,두산,0.288,30,148,165,0.90,9,0.94,3.50,0.082,63.4,0.250
28,이형종,LG,0.286,38,103,128,0.80,4,0.54,3.67,0.155,68.0,0.272
29,이대호,롯데,0.285,40,146,143,1.02,7,0.72,3.58,0.151,72.5,0.269
30,호잉,한화,0.284,46,89,167,0.53,9,0.42,3.54,0.176,75.4,0.268
31,황재균,KT,0.283,39,106,149,0.71,9,0.73,3.78,0.183,73.9,0.277
32,김재환,두산,0.283,40,111,142,0.78,11,0.56,3.57,0.152,82.7,0.271
33,김민혁,KT,0.281,11,163,116,1.41,6,0.52,3.60,0.026,52.8,0.230
34,박병호,키움,0.280,55,85,118,0.72,13,0.67,4.11,0.280,98.3,0.319
35,박세혁,두산,0.279,32,135,121,1.12,7,0.60,3.78,0.111,62.9,0.253
36,로맥,SK,0.276,58,90,164,0.55,12,0.62,4.19,0.232,94.5,0.294
37,김상수,삼성,0.271,27,145,133,1.09,4,0.75,3.95,0.083,63.8,0.250
38,유강남,LG,0.270,38,115,114,1.01,8,0.37,3.86,0.167,56.8,0.260
39,김강민,SK,0.270,24,88,120,0.73,7,0.30,3.95,0.100,52.3,0.238
40,이창진,KIA,0.270,32,82,123,0.67,4,0.62,3.93,0.113,57.3,0.259
41,이재원,SK,0.268,31,137,141,0.97,10,0.58,3.57,0.122,57.1,0.245
42,김재호,두산,0.268,26,84,145,0.58,7,1.16,3.86,0.090,59.0,0.260
43,구자욱,삼성,0.267,48,110,156,0.71,9,0.43,3.65,0.177,71.3,0.258
44,정수빈,두산,0.265,24,145,124,1.17,5,0.95,3.98,0.066,59.1,0.242
45,한동민,SK,0.265,32,108,106,1.02,7,0.55,4.00,0.131,65.7,0.268
46,송광민,한화,0.264,28,128,120,1.07,2,0.23,3.39,0.093,44.7,0.223
47,정은원,한화,0.262,41,175,146,1.20,2,0.48,3.99,0.112,69.3,0.236
48,박찬호,KIA,0.260,21,173,119,1.45,4,0.31,3.88,0.058,51.9,0.214
49,이성열,한화,0.256,43,110,88,1.25,12,0.42,3.81,0.208,67.6,0.270
50,오지환,LG,0.252,37,122,122,1.00,8,0.50,4.11,0.127,66.7,0.247
51,박경수,KT,0.247,34,88,133,0.66,8,0.54,3.93,0.128,54.2,0.245
52,김성현,SK,0.246,19,148,133,1.11,3,0.77,3.47,0.054,37.0,0.211
53,이원석,삼성,0.246,39,87,145,0.60,4,0.59,4.00,0.195,59.7,0.257
54,박해민,삼성,0.239,28,152,154,0.99,2,0.71,4.10,0.089,59.8,0.225
55,오선진,한화,0.224,19,111,124,0.90,5,0.53,3.92,0.064,37.9,0.210